RECORDING FILE,TRANSCRIPT,COMMAND,DISTANCE (in m),LINK_1,LINK_2
,"Alright, get the drone airborne. Take off.",Take off,,T1.mp3,
,Let's start the mission. Take off on my mark.,Take off,,T2.mp3,
,Power up the rotors and take off.,Take off,,T3.mp3,
,Initiate take off.,Take off,,T4.mp3,
,Let's see what you can do. Take off.,Take off,,T5.mp3,
,Bring it home. Land in the designated zone.,Land,,L1.mp3,
,"Okay, that's a wrap. Let's land.",Land,,L2.mp3,
,"We're done here, execute landing procedure. Land.",Land,,L3.mp3,
,"The battery is low, land the drone.",Land,,L4.mp3,
,"Set it down gently, land.",Land,,L5.mp3,
,Kill momentum. Stop!,Stop,,S1.mp3,
,"Hold it right there, please. Stop.",Stop,,S2.mp3,
,Emergency stop!,Stop,,S3.mp3,
,Cease all movement. Stop.,Stop,,S4.mp3,
,And... freeze. Stop.,Stop,,S5.mp3,
,Push forward 2 meter. Go forward.,Forward,2,F1.mp3,
,I need a closer look. Go forward 3.5 meters.,Forward,3.5,F2.mp3,
,"Drone, advance. Go forward 7 meters.",Forward,7,F3.mp3,
,Go forward 1.5 meter.,Forward,1.5,F4.mp3,
,Let's proceed. Go forward 15 meters.,Forward,15,F5.mp3,
,need clearance. Go backward 2 meters.,Backward,2,B1.mp3,
,Pull back . Go backward 4 meters.,Backward,4,B2.mp3,
,Let's retreat . Go backward 10 meters.,Backward,10,B3.mp3,
,Watch behind! Go backward 1.5 meters.,Backward,1.5,B4.mp3,
,"Too close,. Go backward 5 meters.",Backward,5,B5.mp3,
,I need to see . Move 8 meters right.,Right,8,R1.mp3,
,Pan the camera to the right by 2 meter,Right,2,R2.mp3,
,Let's strafe right 3 meters.,Right,3,R3.mp3,
,Check the perimeter. Go right 12 meters.,Right,12,R4.mp3,
,Nudge it to the right a little.,Right,,R5.mp3,
,Let's orbit around. Go left 10 meters.,Left,10,Lf1.mp3,
,What's on the left side? Pan left 6 meters.,Left,6,Lf2.mp3,
,Shift your position to the left by 2.5 meters.,Left,2.5,Lf3.mp3,
,Check that corner. Go left 4 meters.,Left,4,Lf4.mp3,
,Can we slide left a bit?,Left,,Lf5.mp3,
,Let's get a good view. Go up 15 meters.,Up,15,U1.mp3,
,We need to clear. Ascend another 5 meters.,Up,5,U2.mp3,
,Increase altitude. Go up to 20 meters.,Up,20,U3.mp3,
,Just a bit higher. Go up 2 meter,Up,2,U4.mp3,
,Get above it all. Up 10 meters.,Up,10,U5.mp3,
,I need a shot from below. Go down 3 meters.,Down,3,D1.mp3,
,Let's drop the altitude. Down to 5 meters.,Down,5,D2.mp3,
,Decrease your height. Go down by 8 meters.,Down,8,D3.mp3,
,Let's get a closer look. Descend down 12 meters.,Down,12,D4.mp3,
,"too high, come down 3 meters.",Down,3,D5.mp3,
,"Drone, take off.",Take off,,take off .mp3,
,"Drone, land now.",Land,,land .mp3,
,"Drone, stop.",Stop,,stop.mp3,
,"Drone, go forward 0.5 meter.",Forward,0.5,FW 0.5M.mp3,
,"Drone, go forward 1 meter.",Forward,1,FW 1M.mp3,
,"Drone, go forward 2 meters.",Forward,2,FW 2M.mp3,
,"Drone, go forward 3 meters.",Forward,3,FW 3M.mp3,
,"Drone, go forward 4 meters.",Forward,4,FW 4M.mp3,
,"Drone, go forward 5 meters.",Forward,5,FW 5M.mp3,
,"Drone, go forward 6 meters.",Forward,6,FW 6M.mp3,
,"Drone, go forward 7 meters.",Forward,7,FW 7M.mp3,
,"Drone, go forward 8 meters.",Forward,8,FW 8M.mp3,
,"Drone, go forward 9 meters.",Forward,9,FW 9M.mp3,
,"Drone, go backward 0.5 meter.",Backward,0.5,BW 0.5M.mp3,
,"Drone, go backward 1 meter.",Backward,1,BW 1M.mp3,
,"Drone, go backward 2 meters.",Backward,2,BW 2M.mp3,
,"Drone, go backward 3 meters.",Backward,3,BW 3M.mp3,
,"Drone, go backward 4 meters.",Backward,4,BW 4M.mp3,
,"Drone, go backward 5 meters.",Backward,5,BW 5M.mp3,
,"Drone, go backward 6 meters.",Backward,6,BW 6M.mp3,
,"Drone, go backward 7 meters.",Backward,7,BW 7M.mp3,
,"Drone, go backward 8 meters.",Backward,8,BW 8M.mp3,
,"Drone, go backward 9 meters.",Backward,9,BW 9M.mp3,
,"Drone, go right 0.5 meters.",Right,0.5,R 0.5M.mp3,
,"Drone, go right 1 meter.",Right,1,R 1M.mp3,
,"Drone, go right 2 meters.",Right,2,R 2M.mp3,
,"Drone, go right 3 meters.",Right,3,R 3M.mp3,
,"Drone, go right 4 meters.",Right,4,R 4M.mp3,
,"Drone, go right 5 meters.",Right,5,R 5M.mp3,
,"Drone, go right 6 meters.",Right,6,R 6M.mp3,
,"Drone, go right 7 meters.",Right,7,R 7M.mp3,
,"Drone, go right 8 meters.",Right,8,R 8M.mp3,
,"Drone, go right 9 meters.",Right,9,R 9M.mp3,
,"Drone, go left 0.5 meters.",Left,0.5,L 0.5M.mp3,
,"Drone, go left 1 meter.",Left,1,L 1M.mp3,
,"Drone, go left 2 meters.",Left,2,L 2M.mp3,
,"Drone, go left 3 meters.",Left,3,L 3M.mp3,
,"Drone, go left 4 meters.",Left,4,L 4M.mp3,
,"Drone, go left 5 meters.",Left,5,L 5M.mp3,
,"Drone, go left 6 meters.",Left,6,L 6M.mp3,
,"Drone, go left 7 meters.",Left,7,L 9M.mp3,
,"Drone, go left 8 meters.",Left,8,L 7M.mp3,
,"Drone, go left 9 meters.",Left,9,L 8M.mp3,
,"Drone, go up 0.5 meters.",Up,0.5,UP 0.5M.mp3,
,"Drone, go up 1 meter.",Up,1,UP 1M.mp3,
,"Drone, go up 2 meters.",Up,2,UP 2M.mp3,
,"Drone, go up 3 meters.",Up,3,UP 3M.mp3,
,"Drone, go up 4 meters.",Up,4,UP 4M.mp3,
,"Drone, go up 5 meters.",Up,5,UP 5M.mp3,
,"Drone, go up 6 meters.",Up,6,UP 6M.mp3,
,"Drone, go up 7 meters.",Up,7,UP 9M.mp3,
,"Drone, go up 8 meters.",Up,8,UP 7M.mp3,
,"Drone, go up 9 meters.",Up,9,UP 8M.mp3,
,"Drone, go down 0.5 meters.",Down,0.5,Down 0.5M.mp3,
,"Drone, go down 1 meter.",Down,1,Down 1M.mp3,
,"Drone, go down 2 meters.",Down,2,Down 2M.mp3,
,"Drone, go down 3 meters.",Down,3,Down 3M.mp3,
,"Drone, go down 4 meters.",Down,4,Down 4M.mp3,
,"Drone, go down 5 meters.",Down,5,Down 5M.mp3,
,"Drone, go down 6 meters.",Down,6,Down 6M.mp3,
