actual,predicted
alright get the drone airborne take off,alright get the drone airborne and take off
bring it home land in the designated zone,bring it home lend in the designated zone
move drone forward 1 meter,move clone forward one meter
drone reverse 2 meters,join the world store with us
drone go right 2 meters,dont go right two meters
drone go left 2 meters,roll go left 2 meters
drone hold position stop,drone hold position stop
ascend 2 meters,ascend 2 meters
descend 2 meters,descend 2 meters
lets start the mission take off on my mark,lets start the mission take off on my mark
okay thats a wrap lets land,okay thats a wrap lets land
drone go straight ahead 3 meters,drone goes straight ahead 3 meter
move backward 1 meter,move backward one meter
move drone slightly right,more drone slightly light
move drone slightly left,its like we live
stop right there,so thank you
drone move up 1 meter,brawn move up 1 meter
drone move down 1 meter,drone move down one meter
power up the rotors and take off,fire up the rotors and take off
were done here execute landing procedure land,we are done here execute landing procedure land
advance forward 5 meters,advance forward 5 meters
step the drone back 3 meters,step the drone back 3 meters
turn drone right 3 meters,turn drone glide 3 meters
turn drone left 3 meters,turn drone left 3 meters
drone freeze in place,please in place
climb up 3 meters,3 meters
lower altitude by 3 meters,lower altitude by 3 meters
initiate take off,here too take off
drone descend slowly land now,dont descend slowly land now
move forward slightly,move forward slightly
go slightly backward,go slightly backward
drone shift right 5 meters,drone shift right 5 meters
drone shift left 5 meters,drone shift left 5 meters
emergency stop,emergency stop
rise higher 5 meters,rise higher 5 meters
go downward slightly,go downwards slightly
lets see what you can do take off,lets see what you can do take off
time to land the drone safely,time to land the drone safely
drone head forward,drone head forward
drone retreat backward,drone retreat backward
drone head to the right,drone head to the right
drone head to the left,draw and head to the left
stop moving now,stop moving now
go upward slightly,go upward slightly
descend 5 meters,they scan 5 meters
alright get the drone airborne take off,alright get the drone airborne and take off
bring it home land in the designated zone,bring it home lend in the designated zone
move drone forward 1 meter,move clone forward one meter
drone reverse 2 meters,join the world store with us
drone go right 2 meters,dont go right two meters
drone go left 2 meters,roll go left 2 meters
drone hold position stop,drone hold position stop
ascend 2 meters,ascend 2 meters
descend 2 meters,descend 2 meters
lets start the mission take off on my mark,lets start the mission take off on my mark
okay thats a wrap lets land,okay thats a wrap lets land
drone go straight ahead 3 meters,drone goes straight ahead 3 meter
move backward 1 meter,move backward one meter
move drone slightly right,more drone slightly light
move drone slightly left,its like we live
stop right there,so thank you
drone move up 1 meter,brawn move up 1 meter
drone move down 1 meter,drone move down one meter
power up the rotors and take off,fire up the rotors and take off
were done here execute landing procedure land,we are done here execute landing procedure land
advance forward 5 meters,advance forward 5 meters
step the drone back 3 meters,step the drone back 3 meters
turn drone right 3 meters,turn drone glide 3 meters
turn drone left 3 meters,turn drone left 3 meters
drone freeze in place,please in place
climb up 3 meters,3 meters
lower altitude by 3 meters,lower altitude by 3 meters
initiate take off,here too take off
drone descend slowly land now,dont descend slowly land now
move forward slightly,move forward slightly
go slightly backward,go slightly backward
drone shift right 5 meters,drone shift right 5 meters
drone shift left 5 meters,drone shift left 5 meters
emergency stop,emergency stop
rise higher 5 meters,rise higher 5 meters
go downward slightly,go downwards slightly
lets see what you can do take off,lets see what you can do take off
time to land the drone safely,time to land the drone safely
drone head forward,drone head forward
go backwards 3 meters,go backwards 3 meters
after 2 meters turn right,after 2 meters turn right
drone turn left 3 meters,dont turn left 3 meters
stop after 3 meters,drones stop after 3 meters
drone up 5 meter,drone up 5 meters
drone go down,drone go down
take off,take off
land after 5 meter,land after 5 meters
go forward 4 meters,go forward 4 meters
go backward,go backflip
drone turn right 2 meters,dont turn right two meters
turn left after 2 meters,turn left after 2 meters
drone stop,dont stop
drone up after 2 meters,drone up after 2 meters
drone go down 3 meters,drone go down 3 meters
take off,take off
land after 2 meters,land after 2 meters
go forward 3 meters,go forward 3 meters
go backward after 3 meter,go backward after three meters
drone turn right 5 meters,drone turn right 5 meters
drone turn left 2 meters,dont turn left 2 meters
stop after 4 meters,stop after four meters
up 3 meters,up three meters
move down,move down
take off,take off
land after 3 meters,land after 3 meters
go forward,go forward
go backward 3 meters,go backward three meters
turn right after 6 meters,done right after six meters
turn left from 5 meters,turn left from 5 meters
stop after 2 meters,stop after 2 meters
move 4 meters up,move four meters up
move down,move down
take off,take off
land after 2 meters,land after 2 meters
go forward 3 meters,go forward 3 meters
go backward after 3 meter,go backward after three meters
turn right after 4 meters,done right after four meters
turn left after 3 meters,john left after three meters
stop after 5 meters,stop after 5 meters
move up after 3 meters,move up after three meters
move down 1 meter,move down one meter
take off,take off
land,land
go 6 meters forward,go 6 meters forward
go backward upto 2 meters,go backward up to 2 meters
turn right after 3 meters,turn right after 3 meters
turn left after 5 meters,turn left after 5 meters
stop from 3 meters,stop from 3 meters
up 2 meters,up two meters
move down after 3 meters,move down after 3 meters
take off,take off
land after 3 meters,land after 3 meters
3 meters forward,three meters forward
come backward 4 meters,come back for four meters
turn right from 5 meters,turn right from 5 meters
turn left after 2 meters,turn left after 2 meters
stop after 4 meters,stop after four meters
up 6 meters,up six meters
move down,move down
take off,take off
land after 6 meters,land after 6 meters
go forward upto 5 meter,go forward up to 5 meters
go backward 4 meters,go backward 4 meters
turn right after 3 meters,turn right after 3 meters
turn left,turn left
stop,stop
move up,move up
down,down
take off,take off
land after 5 meters,land after 5 meters
go forward,go forward
step the drone back 5 meters,step the drone back five meters
turn drone right 3 meters,turn drone right 3 meters
turn drone left 3 meters,turn drone left 3 meters
drone freeze in place,drone freeze in place
climb up 3 meters,climb up three meters
lower altitude by 3 meters,lower altitude by 3 meters
initiate take off,initiate takeoff
drone land now,drone land now
move forward slightly,move forward slightly
go slightly backward,go slightly backward
drone shift right 5 meters,drone shift right 5 meters
drone shift left 5 meters,drone shift left five meters
emergency stop,emergency stop
rise higher 5 meters,rise higher 5 meters
go downward slightly,go downwards slightly
lets see what you can do take off,lets see what you can do take off
time to land the drone safely,time to land the drone safely
drone head forward,drone head forward
drone retreat backward,drone retreat backward
drone head to the right,drone head to the right
drone head to the left,draw and head to the left
stop moving now,stop moving now
go upward slightly,go upward slightly
descend 5 meters,they scan 5 meters
alright get the drone airborne take off,alright get the drone airborne and take off
bring it home land in the designated zone,bring it home lend in the designated zone
move drone forward 1 meter,move clone forward one meter
drone reverse 2 meters,join the world store with us
drone go right 2 meters,dont go right two meters
drone go left 2 meters,roll go left 2 meters
drone hold position stop,drone hold position stop
ascend 2 meters,ascend 2 meters
descend 2 meters,descend 2 meters
lets start the mission take off on my mark,lets start the mission take off on my mark
okay thats a wrap lets land,okay thats a wrap lets land
drone go straight ahead 3 meters,drone goes straight ahead 3 meter
move backward 1 meter,move backward one meter
move drone slightly right,more drone slightly light
