audio,transcript
01.wav,ALRIGHT GET THE DRONE AIRBORNE TAKE OFF
10.wav,LET'S START THE MISSION TAKE OFF ON MY MARK
019.wav,POWER UP THE ROTORS AND TAKE OFF
028.wav,INITIATE TAKE OFF
064.wav,POWER UP THE ROTORS AND TAKE OFF
073.wav,INITIATE TAKE OFF
082.wav,LET'S SEE WHAT YOU CAN DO TAKE OFF
091.wav,TAKE OFF
100.wav,TAKE OFF
109.wav,TAKE OFF
118.wav,TAKE OFF
127.wav,TAKE OFF
136.wav,TAKE OFF
145.wav,TAKE OFF
154.wav,TAKE OFF
163.wav,INITIATE TAKE OFF
343.wav,INITIATE TAKE OFF
352.wav,LET'S SEE WHAT YOU CAN DO TAKE OFF
361.wav,ALRIGHT GET THE DRONE AIRBORNE TAKE OFF
370.wav,LET'S START THE MISSION TAKE OFF ON MY MARK
379.wav,POWER UP THE ROTORS AND TAKE OFF
388.wav,INITIATE TAKE OFF
397.wav,LET'S SEE WHAT YOU CAN DO TAKE OFF
406.wav,ALRIGHT GET THE DRONE AIRBORNE TAKE OFF
415.wav,LET'S START THE MISSION. TAKE OFF ON MY MARK.
